feature_id|feature_name|feature_class|state_name|state_numeric|county_name|county_numeric|map_name|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec|source_lat_dms|source_long_dms|source_lat_dec|source_long_dec
401|Aguaje Draw|Valley|Arizona|04|Apache|001|Kearn Lake|02/08/1980|08/18/2021||||343439N|1091249W|34.5774958|-109.2136158|344306N|1085819W|34.7182628|-108.9719032
435|San Simon River|Stream|Arizona|04|Graham|009|Safford|02/08/1980|||||324953N|1093857W|32.8314544|-109.649245|320000N|1090127W|32.0000893|-109.0242268
665|Antelope Canyon|Valley|New Mexico|35|Hidalgo|023|Round Mountain|02/08/1980|08/30/2021||||323018N|1090151W|32.5049728|-109.0307448|322628N|1090601W|32.4412051|-109.1001399
960|Baker Canyon|Valley|Arizona|04|Cochise|003|Guadalupe Canyon|02/08/1980|02/08/2020||||312037N|1090402W|31.3436114|-109.0673506|312513N|1090224W|31.420196|-109.0398854
1448|Beclabito Wash|Stream|New Mexico|35|San Juan|045|Sallies Spring|11/13/1980||Official|Board Decision|01/01/1983|365422N|1085534W|36.9061086|-108.9262091|365044N|1090424W|36.8455547|-109.0734341
1500|Black Creek|Stream|Arizona|04|Apache|001|Houck|02/08/1980||Official|Board Decision|01/01/1959|351600N|1091402W|35.2666917|-109.2339842|355455N|1090150W|35.9152895|-109.0306499
1501|Black Creek Valley|Valley|Arizona|04|Apache|001|Hunters Point|02/08/1980|08/30/2021||||353306N|1090535W|35.5517342|-109.0929528|355501N|1090138W|35.9169556|-109.0271009
1650|Blackrock Wash|Stream|Arizona|04|Apache|001|Horse Mesa|02/08/1980|||||364218N|1090039W|36.7049999|-109.0109301|364723N|1091020W|36.789722|-109.1723243
1668|Blanco Canyon|Valley|Arizona|04|Apache|001|Kearn Lake|02/08/1980|06/03/2023||||343338N|1090929W|34.560673|-109.1579735|343941N|1085509W|34.6615016|-108.9191604
2850|China Camp Canyon|Valley|Arizona|04|Greenlee|011|Sheldon|02/08/1980|03/24/2023||||324928N|1091042W|32.824573|-109.1782818|325207N|1085929W|32.8684999|-108.9914279
